location;interest_rate;count
Alameda;0.3076923076923077;26
Albuquerque;0.4;5
Alexandria;0.8181818181818182;11
Ann Arbor;0.2517482517482518;143
Arlington;0.26666666666666666;30
Atlanta;0.4883720930232558;172
Austin;0.403921568627451;765
Baltimore;0.5915492957746479;71
Benicia;0.375;8
Bethesda;0.7894736842105263;19
Boston;0.3101388888888889;7200
Boulder;0.36619718309859156;71
California;0.352112676056338;71
Cambridge;0.4770797962648557;589
Cedar Rapids;0.43548387096774194;62
Charlotte;0.4864864864864865;111
Chicago;0.37420886075949367;1264
Cincinnati;0.5145631067961165;103
Cleveland;0.3333333333333333;9
Colorado;0.5576923076923077;52
Columbia;0.6;10
Columbus;0.18867924528301888;53
Connecticut;0.2138157894736842;304
Corte Madera;0.18181818181818182;11
Dallas;0.6036036036036037;222
Dayton;0.0;4
Denver;0.36486486486486486;74
Des Moines;0.3333333333333333;12
Florida;0.5123674911660777;566
Fort Lauderdale;0.5384615384615384;13
Georgia;0.5333333333333333;15
Glendale;0.32989690721649484;97
Greensboro;0.0;1
Hartford;0.0;4
Honolulu;0.3333333333333333;6
Houston;0.5957446808510638;94
Huntsville;0.0;1
Illinois;0.6;85
Indiana;0.05263157894736842;19
Indianapolis;0.14705882352941177;34
Irvine;0.52;25
Irving;1.0;12
Kansas;0.37209302325581395;43
Kansas City;0.5714285714285714;7
Kentucky;0.15;20
Knoxville;0.36363636363636365;11
Las Vegas;1.0;1
Long Beach;0.2857142857142857;7
Los Altos;0.25;8
Los Angeles;0.4438687392055268;1737
Louisiana;1.0;1
Louisville;0.4444444444444444;36
Madison;0.2962962962962963;27
Manchester;1.0;1
Maryland;0.5079365079365079;126
Massachusetts;0.42857142857142855;14
Menlo Park;0.39436619718309857;71
Miami;0.6548672566371682;113
Michigan;0.15384615384615385;13
Milwaukee;0.5483870967741935;31
Minneapolis;0.3466666666666667;225
Mission Viejo;0.6666666666666666;3
Missouri;0.4375;16
Mountain View;0.36283185840707965;113
Naperville;0.26785714285714285;112
Nashville;0.4166666666666667;24
New Hampshire;0.2549019607843137;51
New Jersey;0.5714285714285714;35
New Orleans;0.125;24
New York;0.48413344182262;1229
New York City;0.4169137948665508;9779
Newark;1.0;3
Norman;0.4166666666666667;12
North Carolina;0.24;25
Oakland;0.30569948186528495;193
Ohio;0.4090909090909091;22
Orange County;0.5;10
Oregon;0.8894009216589862;217
Orlando;0.55;20
Palo Alto;0.5714285714285714;21
Pasadena;0.4052631578947368;570
Pennsylvania;0.391304347826087;23
Peoria;0.3333333333333333;9
Philadelphia;0.46846846846846846;111
Phoenix;0.23076923076923078;52
Pittsburgh;0.5501618122977346;309
Plano;0.4444444444444444;18
Portland;0.14285714285714285;7
Raleigh;0.46975806451612906;496
Redwood City;0.32014388489208634;556
Reno;0.5882352941176471;34
Richmond;0.6111111111111112;36
Roanoke;0.5769230769230769;26
Sacramento;0.5;2
Saint Louis;0.5;8
Salt Lake City;0.16666666666666666;12
San Antonio;0.2727272727272727;55
San Diego;0.3474576271186441;118
San Francisco;0.39015449070437286;3819
San Francisco Bay Area;0.5475077881619937;1284
San Jose;0.2578512396694215;605
San Mateo;0.4806131650135257;1109
Santa Ana;0.5569620253164557;79
Santa Clara;0.6470588235294118;17
Scottsdale;0.0;2
Seattle;0.5730337078651685;89
South Carolina;0.6666666666666666;45
Springfield;0.4;5
Sunnyvale;0.3825503355704698;149
Tampa;0.5688073394495413;109
Tennessee;0.5714285714285714;21
Texas;0.4232081911262799;293
Toledo;0.2727272727272727;11
Virginia;0.5714285714285714;7
Washington;0.5;2
Washington DC;0.5030549898167006;491
Wisconsin;0.8275862068965517;58
Worcester;0.5;2
