company_name;interest_rate;count
&pizza;0.6026200873362445;229
650 Labs;0.5321100917431193;109
AISense;0.25;8
ANDIE;0.3541666666666667;48
Action Behavior Centers;0.23529411764705882;119
AdQuick;0.38095238095238093;504
Age of Learning;0.4153498871331828;443
Alexander & Schmidt;0.0;11
Alexander Hughes;0.0;3
Algolia;1.0;4
Allegis Global Solutions;0.2711864406779661;118
Amazon.com;0.8775510204081632;49
Amino Apps;0.4006734006734007;297
Amper Technologies;0.24719101123595505;89
AnyRoad;0.22105263157894736;95
AppNexus;0.509090909090909;110
Arrive logistics;0.4166666666666667;840
Audicus;0.37209302325581395;86
Balchem Corporation;0.43137254901960786;51
Banza;0.4090909090909091;22
Beeswax;0.25;4
Behr Paint;0.5590551181102362;127
Benson Hill Biosystems;0.4444444444444444;9
BentoBox;0.3192488262910798;213
Better;0.3295668549905838;531
Bevi;0.4186939820742638;781
Bizly;0.4461028192371476;603
Blucora, Inc.;0.5426356589147286;387
Bluegreen Vacations Unlimited;0.3333333333333333;9
Boundless Inc;0.5555555555555556;9
Boxed;0.4666666666666667;60
Broadridge;0.6666666666666666;12
Buck Tv;0.45454545454545453;33
Buildout, Inc.;0.36666666666666664;60
Butterfly;0.2;5
CITYROW;0.5;12
Canvas;0.32558139534883723;516
CarGurus;0.49591280653950953;367
Carlyle;0.7777777777777778;9
Catalant Technologies;0.2894736842105263;38
Certain Inc.;0.36666666666666664;30
CircleLink Health;0.5403899721448467;359
Clarifai;0.4074074074074074;135
Clarity Insights;0.43423137876386686;631
Coded;0.5333333333333333;15
College Works Painting;0.8664596273291926;322
Comfy;0.3620689655172414;58
Common Living Inc.;0.5056179775280899;178
ConsenSys;0.25;12
Coupa Software;0.5173928963749542;2731
Course Hero;0.3128491620111732;537
Cozykin;0.35384615384615387;65
Cybecys;0.6341463414634146;41
Debrain;0.0;2
Digital Alloys;0.4015151515151515;132
Drift;0.44122137404580153;655
DroneDeploy;1.0;4
EVEN Financial;0.4;35
Elevenwall;0.0;2
Elite Medical Laboratory Solutions;0.4838709677419355;93
Elsen;0.48535564853556484;239
Envoy Inc.;0.3125;512
Epam Continuum;0.2815533980582524;103
Equinox;0.27196885428253614;3596
Even Responsible Finance;0.29133858267716534;127
Exverus Media Inc.;0.43103448275862066;58
FEED Projects;0.5945945945945946;74
FTD (Florists' Transworld Delivery);0.3310104529616725;287
Factual;0.3409090909090909;132
FarmWise;0.2857142857142857;35
Fatherly;0.38271604938271603;162
First Citizens Bank;0.5117004680187207;641
First Citizens National Bank;0.375;8
Forma Tech;0.22807017543859648;57
Frame.io;0.4332531569452796;3326
Fundrise;0.0;1
HKA Enterprises;1.0;2
Harvest;0.75;4
Haute Hijab;0.3333333333333333;18
Hexagon;0.5;62
Hipcamp;0.3835051546391753;485
Hisense USA;0.5476190476190477;42
Honey (joinhoney.com);0.4;40
Hopebridge;0.17073170731707318;205
Hyperscience;0.47268408551068886;421
Immersive Labs;0.6428571428571429;28
Industrious;0.4721549636803874;413
Jebbit;0.25;56
Kernel;0.38164251207729466;207
Klara;0.4339622641509434;53
Klaviyo;0.25;12
Leagueside;0.37142857142857144;70
Litmus;0.451063829787234;470
Loadsmart;0.4721189591078067;269
LogRocket;0.35714285714285715;14
Logikcull;0.6046511627906976;86
Maersk, Inc;0.35294117647058826;17
Magic Leap;0.3544018058690745;443
MakerSights;0.26666666666666666;30
Manifold;0.3372093023255814;86
Matternet Inc;0.37362637362637363;182
Mirror Inc.;0.7142857142857143;406
Mobilize.io;0.45318352059925093;267
ModernGuild;0.8472222222222222;288
Mojo Trek;0.2920962199312715;291
MorganFranklin Consulting;0.4470588235294118;170
Mosaic;0.4153846153846154;65
Mux;0.45595854922279794;193
Mvc Consulting;0.4391891891891892;148
Mythic;0.30484330484330485;351
NGS Global;0.5925925925925926;108
Navistone;0.36363636363636365;11
Neosensory;0.8125;32
Niantic;0.42735042735042733;234
O.school;0.7251184834123223;422
OZ Code;0.16666666666666666;12
Obu Interactive;0.5;16
One Medical;0.30402010050251255;398
Originate;0.43258426966292135;178
PAX Labs, Inc.;0.3333333333333333;264
Paperless Post;0.38;50
Peloton Interactive LLC;0.308;250
Peloton Sports Inc.;0.5915492957746479;355
Pendo.io;0.5193798449612403;129
Perforce;0.37320574162679426;209
Petal;0.6118421052631579;152
Petalcard;0.4444444444444444;45
Polarr;0.25510204081632654;588
Productboard;0.5;8
ProvideHQ;0.8;5
PureWow;0.4838709677419355;62
Reciprocity Labs;0.35714285714285715;14
Resonetics;0.2780487804878049;205
RevZilla;0.5;10
Rigor;0.5454545454545454;33
RingDNA;0.4666666666666667;30
Robin;0.34;50
Roblox;0.18867924528301888;53
Rocketpower;0.5641025641025641;39
Rollinglobe.com;0.4430693069306931;404
SHIFT;0.4074074074074074;135
Scanlan Theodore;0.5238095238095238;168
Sentry.io;0.4626865671641791;67
ServiceNow;0.6923076923076923;13
Shapescale;0.5;4
ShipBob, Inc.;0.26666666666666666;30
Shutterstock;0.5751633986928104;459
SignalFx;0.4692737430167598;358
Skillz;0.6666666666666666;3
Smashfly;0.5;2
Southern Glazer's Wine and Spirits;0.7115384615384616;52
Spectrm;0.3125;32
Spiro Technologies;0.39156626506024095;166
Streetsense.com;0.4973544973544973;189
Subspace, Inc.;0.48333333333333334;180
Sunfolding;0.0;3
Teampay;0.3698630136986301;146
The Carlyle Group;0.3333333333333333;3
The Cusp;0.2962962962962963;27
The Mighty;0.6666666666666666;27
The Participation Agency;0.7727272727272727;22
TheMuse.com;0.3188405797101449;69
Tradavo;1.0;1
Trendalytics;0.45714285714285713;35
Trustwave;0.4418604651162791;172
Truveris;0.475;200
Udacity;0.5;2
Udemy;0.35883905013192613;379
Velcro;0.4444444444444444;9
Verato;0.5;28
Virtual Bench;0.2857142857142857;21
Voloridge Investment Management;0.519927536231884;552
Wayfair;0.30700086430423507;5785
Wealthfront;0.5;92
Wells Levitt;0.6804123711340206;97
Westport Intl;0.4663951120162933;491
Whoops;0.29694323144104806;229
WordsFresh;0.42857142857142855;14
XtremeEDA;0.2033898305084746;177
Zype;0.3333333333333333;6
i-Gem Associates;0.4765625;128
iCrossing;0.4666666666666667;60
