industry;interest_rate;count
Apparel & Fashion;0.5384615384615384;273
Automotive;0.32064128256513025;499
Aviation & Aerospace;0.4127659574468085;235
Banking;0.5117004680187207;641
Biotechnology;0.43653250773993807;323
Chemicals;0.6428571428571429;14
Commercial Real Estate;0.36666666666666664;60
Computer & Network Security;0.5168539325842697;89
Computer Games;0.23863636363636365;88
Computer Hardware;0.4;5
Computer Software;0.45425674850372544;8187
Computer and Network Security;0.5;60
Construction;0.851963746223565;331
Consumer Electronics;0.3764404609475032;781
Consumer Goods;0.5413533834586466;133
Defense & Space;0.42857142857142855;84
Design;0.45170454545454547;352
E-Learning;0.354256233877902;1163
E-commerce;0.5825242718446602;103
Education Management;0.48717948717948717;39
Entertainment;0.3333333333333333;6
Environmental Services;0.55;40
Financial Services;0.48220380302291566;2051
Food & Beverages;0.43255395683453235;1112
Food and Beverages;0.3717948717948718;156
Gambling & Casinos;0.6666666666666666;3
Health, Wellness and Fitness;0.366506646971935;5416
Hospital & Health Care;0.3968253968253968;189
Hospitality;0.425531914893617;235
Human Resources;0.2;5
Individual & Family Services;0.35384615384615387;65
Industrial Automation;0.2949640287769784;139
Information Services;0.34057971014492755;138
Information Technology and Services;0.4284294234592445;2012
Insurance;0.07692307692307693;13
International Trade and Development;0.35294117647058826;17
Internet;0.35556695741405847;9745
Investment Banking/Venture;0.7777777777777778;9
Investment Management;0.5;2
Law Practice;0.5555555555555556;9
Leisure and Travel;0.5254237288135594;118
Leisure, Travel & Tourism;0.4090909090909091;286
Logistics and Supply Chain;0.41916859122401845;866
Machinery;0.7368421052631579;19
Management Consulting;0.5577557755775577;303
Marketing and Advertising;0.44575471698113206;424
Mechanical or Industrial Engineering;0.4015151515151515;132
Media Production;0.48;50
Medical Device;0.1111111111111111;36
Medical Devices;0.3136094674556213;169
Medical Practice;0.3005050505050505;396
Mental Health Care;0.23529411764705882;119
Military;0.4;40
Oil & Energy;0.375;8
Online Media;0.32524271844660196;206
Online Publishing;0.5357142857142857;28
Packaging and Containers;0.6;10
Pharmaceuticals;0.4528301886792453;53
Political Organization;0.4425531914893617;235
Real Estate;0.5150684931506849;365
Renewables & Environment;0.0;3
Research;0.5853658536585366;41
Retail;0.31403940886699505;1624
SaaS;0.5838509316770186;161
Sales;0.27586206896551724;29
Semiconductors;0.2708333333333333;528
Software;0.5604166666666667;480
Sports;0.37142857142857144;70
Staffing and Recruiting;0.4601328903654485;602
Tech;0.5;70
Textiles;0.4444444444444444;9
Transportation/Trucking/Railroad;0.5294117647058824;34
Wine and Spirits;0.7115384615384616;52
Writing and Editing;0.42857142857142855;14
